customer_id,age,income,credit_amount,credit_limit,utilization,debt_to_income,late_payment_score,target_default
0,67,59570.75619631647,1169,3109.717353974068,0.37591840895317213,0.01962372268949449,0.1684946337440612,1
1,22,39400.23840639257,5951,7221.713063626339,0.8240427094747713,0.1510396952073891,0.1667631090559411,1
2,49,66256.76793709685,2096,3681.5269341641415,0.5693289869888942,0.031634504145899627,0.07544727984995923,0
3,45,69108.47074586821,7882,10515.910377733742,0.749530921896144,0.11405258884955491,0.3574793373410348,1
4,53,25734.472170192454,4870,6872.993291199956,0.7085704573923346,0.1892403297721719,0.42764243147629444,0
5,35,35467.30739706523,9055,11395.209976868338,0.7946321321310588,0.25530553810096285,0.4227876972900514,0
6,53,56917.60604750928,2835,5505.07924220219,0.5149789631122401,0.04980884118059389,0.0156399845758974,0
7,35,50256.361114846266,6948,8573.15853710239,0.810436430159418,0.1382511555924706,0.2228914277600552,1
8,61,54747.98263743567,3059,5815.248163629806,0.5260308612677692,0.0558742049046445,0.28166098431226,0
9,28,42204.3410863963,5234,7612.8426034583945,0.6875224239658227,0.12401567860721968,0.24961780125953195,1
10,25,68190.96962294243,1295,2060.1869130885216,0.628583742461797,0.018990784368672554,0.23351264820788276,1
11,24,66666.87903143422,4308,7750.304791186244,0.5558491073666055,0.06461979415548652,0.4760357894981018,1
12,22,55990.46046341824,1567,3066.2552562430837,0.5110468206485719,0.027986910395634456,0.03676345867930709,0
13,60,71908.61810452049,1199,1699.0,0.7057092407298411,0.016673940225874342,0.32061382287499146,0
14,28,62012.64013378068,1403,2357.9562904136974,0.5950067885922716,0.02262441974689821,0.3145213080401383,1
15,32,42110.61305675143,1282,2260.9548393216783,0.5670170751330088,0.03044363182916099,0.33652880897948817,0
16,53,60531.26176123748,2424,4476.173318657533,0.5415339906290741,0.040045423298152055,0.35466359444486384,0
17,25,40616.760987565016,8072,9798.149494453763,0.8238290306316669,0.19873568949703485,0.44650133654199997,1
18,44,68176.7545196091,12579,14242.168032359406,0.883222271456105,0.18450570269345998,0.2748462152640991,0
19,31,54251.11133520621,3430,6049.701965482479,0.5669700787857652,0.06322451126958029,0.02526262773442802,0
20,48,52227.06454682109,2134,4473.875361192704,0.4769913839153289,0.040860041025030006,0.07377990566733635,1
21,44,44786.05683394088,2647,4963.047870644286,0.5333416217193117,0.05910321620442336,0.3104776788234545,1
22,48,73338.12008011046,2241,4650.828457328693,0.48184963615862286,0.030557096330694828,0.28037367723374823,0
23,44,52682.05776896797,1804,4420.134668002238,0.40813236145480414,0.03424315746949875,0.2082570876853531,1
24,26,48575.08266755339,2069,2569.0,0.8053717399766446,0.042593854428621,0.3805927358173242,0
25,36,49717.99674267656,1374,3009.561747735539,0.45654487768321356,0.02763586809644316,0.13686533631003814,0
26,39,62984.63778330023,426,926.0,0.46004319654427644,0.006763554018769793,0.13039669415270355,1
27,42,60481.660965461175,409,2445.0599267977955,0.16727606367327452,0.006762380421952444,0.35112000500318535,0
28,34,61190.98917393983,2415,4410.367027775655,0.5475734751304797,0.039466595206284164,0.25362018350160304,1
29,63,61462.315045118245,6836,9881.53227478968,0.6917955444461166,0.11122262470884525,0.443324517103873,1
30,36,87124.71401305692,1913,5100.634392721121,0.37505138630009505,0.02195703046684674,0.12669843672531111,1
31,27,48903.77475423076,4020,6222.775048252368,0.6460140321365135,0.08220224349148471,0.31774023558080905,1
32,30,47316.35906392694,5866,7365.638922603101,0.7964007008270355,0.12397403595814968,0.2802718203379147,0
33,57,42793.40907628184,1264,3749.161112545738,0.33714208647110516,0.02953725882756486,0.27151881880448814,0
34,33,64239.69133863243,1474,2946.0823626756865,0.5003254554843083,0.022945315727467806,0.10431092272867044,0
35,25,71934.58439081337,4746,6744.607348556651,0.7036732836664904,0.06597660972384936,0.23602759579238242,0
36,31,53290.788135176874,6110,9096.136316960768,0.6717137680321719,0.11465396204127129,0.2147555863510803,0
37,37,42397.65284556208,2100,3542.2286540105765,0.5928471042156868,0.0495310437973883,0.13333291328182972,1
38,37,42632.78176463141,1225,4030.678639242501,0.30391904432009453,0.028733757200339965,0.2533573201115021,1
39,24,64758.89181737052,458,3135.4013686923026,0.14607380240795784,0.007072387855116893,0.11790537114704759,0
40,30,66148.81256805164,2333,3378.2081828691785,0.690602791098131,0.035268962652956,0.4424340668968419,0
41,26,63147.31402457792,1158,4131.894128217401,0.280258875001618,0.01833807213952581,0.16359023366830527,0
42,44,45017.354390669585,6204,8902.566345371506,0.6968777046211505,0.1378135184524717,0.26982502264894875,1
43,24,58482.4198460008,6187,8288.925887372658,0.7464175798006917,0.10579247603454092,0.19077978664574907,1
44,58,56750.28713711092,6143,7380.676541972348,0.8323085241665933,0.10824614834385368,0.05936134101494429,1
45,35,58280.328950935196,1393,2533.79398142443,0.5497684540306995,0.023901718213923142,0.47661273328581505,1
46,39,68071.43166922285,2299,3761.3374230969775,0.6112187611466852,0.03377334578728197,0.11880605160180985,1
47,23,58353.933231620234,1352,3894.59446329196,0.34714782572180913,0.023168960944476524,0.25514551630700816,0
48,39,65183.70344607842,7228,8272.374832598602,0.8737515098465948,0.11088661149759896,0.17925347256013513,0
49,28,56013.68604233337,2073,4510.51224861987,0.45959303195203566,0.03700881242547209,0.48194610041696595,0
50,29,59336.79098034976,2333,3091.2444711216076,0.7547122273229684,0.039317933468505345,0.28181112002810554,1
51,30,64469.32338757811,5965,7760.931415561151,0.7685933144622054,0.09252462545852204,0.5657100722236503,1
52,25,33142.662702165006,1262,3371.6477545740086,0.3742977000749735,0.03807780959969644,0.33088094914648375,1
53,31,50204.93175464048,3378,7823.130145058916,0.4317964724303535,0.0672842265080416,0.269291304240459,1
54,57,47944.41018560807,2225,2847.6843444796323,0.7813365987396972,0.04640791265105394,0.10903697694438334,0
55,26,45416.83227634987,783,4255.014566490134,0.1840181714456219,0.01724030410654015,0.5240617148275594,0
